gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,1626147,Justin,Anderson,J. Anderson,justin-anderson,,,1,0:42,2,0,2,2,0,0,0,0,0,0,0,0
0021500057,1610612742,Dallas,Mavericks,DAL,mavericks,202379,Jeremy,Evans,J. Evans,jeremy-evans,,DNP - Coach's Decision,21,,0,0,0,0,0,0,0,0,0,0,0,0
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,201568,Danilo,Gallinari,D. Gallinari,danilo-gallinari,F,,8,34:33,4,8,5,8,10,6,11,38,1,1,1,7
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,202702,Kenneth,Faried,K. Faried,kenneth-faried,F,,35,39:52,2,6,4,20,15,6,13,42,0,0,2,8
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,201581,JJ,Hickson,J. Hickson,jj-hickson,C,,7,24:41,0,0,0,12,8,4,9,26,2,0,4,3
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,203914,Gary,Harris,G. Harris,gary-harris,G,,14,21:43,0,0,4,8,6,4,9,26,0,1,1,1
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,1626144,Emmanuel,Mudiay,E. Mudiay,emmanuel-mudiay,G,,0,31:28,0,0,0,0,10,6,11,36,1,1,4,2
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,201589,Darrell,Arthur,D. Arthur,darrell-arthur,,,00,15:56,2,0,0,0,3,3,0,10,1,0,2,2
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,2749,Jameer,Nelson,J. Nelson,jameer-nelson,,,1,25:50,0,0,0,0,9,5,4,20,0,0,4,2
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,203115,Will,Barton,W. Barton,will-barton,,,5,21:28,2,2,0,4,7,5,4,16,1,0,2,3
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,2034,Mike,Miller,M. Miller,mike-miller,,,3,8:20,3,0,0,0,2,3,2,8,0,0,1,0
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,200751,Randy,Foye,R. Foye,randy-foye,,,4,16:09,2,2,0,2,5,3,2,8,1,1,2,0
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,203475,Erick,Green,E. Green,erick-green,,DNP - Coach's Decision,11,,0,0,0,0,0,0,0,0,0,0,0,0
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,203999,Nikola,Jokić,N. Jokić,nikola-jokić,,DND - Low back strain.,15,,0,0,0,0,0,0,0,0,0,0,0,0
0021500059,1610612743,Denver,Nuggets,DEN,nuggets,203530,Joffrey,Lauvergne,J. Lauvergne,joffrey-lauvergne,,DND - Low back strain.,77,,0,0,0,0,0,0,0,0,0,0,0,0
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,977,Kobe,Bryant,K. Bryant,kobe-bryant,F,,24,29:10,2,0,0,2,8,10,13,44,0,0,5,1
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,203944,Julius,Randle,J. Randle,julius-randle,F,,30,32:19,0,0,2,14,4,14,13,44,1,2,2,2
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,201579,Roy,Hibbert,R. Hibbert,roy-hibbert,C,,17,17:28,0,2,2,4,0,6,6,28,2,0,2,2
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,203903,Jordan,Clarkson,J. Clarkson,jordan-clarkson,G,,6,37:12,4,0,3,10,13,16,13,50,0,1,2,3
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,1626156,D'Angelo,Russell,D. Russell,dangelo-russell,G,,1,20:25,2,0,2,2,4,12,6,28,0,2,4,0
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,101138,Brandon,Bass,B. Bass,brandon-bass,,,2,18:42,0,0,0,0,15,8,4,16,0,0,2,3
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,101150,Lou,Williams,L. Williams,lou-williams,,,23,33:27,7,0,4,6,13,10,7,30,1,1,3,8
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,203527,Ryan,Kelly,R. Kelly,ryan-kelly,,,4,9:22,0,3,0,2,5,2,0,2,0,0,1,2
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,201156,Nick,Young,N. Young,nick-young,,,0,15:12,0,0,0,0,5,4,0,6,0,0,0,1
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,1626273,Marcelo,Huertas,M. Huertas,marcelo-huertas,,,9,8:34,0,0,0,0,2,2,0,4,0,1,3,0
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,204028,Tarik,Black,T. Black,tarik-black,,,28,18:09,0,4,0,6,6,6,3,18,0,0,4,1
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,1626204,Larry,Nance Jr.,L. Nance Jr.,larry-nance-jr,,DNP - Coach's Decision,7,,0,0,0,0,0,0,0,0,0,0,0,0
0021500059,1610612747,Los Angeles,Lakers,LAL,lakers,1897,Metta,World Peace,M. World Peace,metta-world-peace,,DNP - Coach's Decision,37,,0,0,0,0,0,0,0,0,0,0,0,0
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,2754,Tony,Allen,T. Allen,tony-allen,F,,9,20:07,2,0,2,2,6,8,10,20,0,0,4,0
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,2216,Zach,Randolph,Z. Randolph,zach-randolph,F,,50,29:08,4,4,0,10,7,11,14,26,0,0,2,1
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,201188,Marc,Gasol,M. Gasol,marc-gasol,C,,33,17:38,0,0,0,4,5,5,10,12,1,0,1,3
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,201584,Courtney,Lee,C. Lee,courtney-lee,G,,5,30:33,5,2,3,6,12,11,18,22,0,1,4,1
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,201144,Mike,Conley,M. Conley,mike-conley,G,,11,25:12,0,0,2,4,8,9,12,22,0,0,2,1
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,201145,Jeff,Green,J. Green,jeff-green,,,32,21:58,0,0,3,2,12,5,6,10,0,0,2,0
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,2757,Beno,Udrih,B. Udrih,beno-udrih,,,19,21:12,0,0,0,4,15,4,9,10,0,0,5,2
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,2440,Matt,Barnes,M. Barnes,matt-barnes,,,22,23:36,0,0,0,2,14,2,6,10,2,0,5,3
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,203210,JaMychal,Green,J. Green,jamychal-green,,,0,19:58,4,6,0,8,13,2,6,10,0,0,3,2
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,201148,Brandan,Wright,B. Wright,brandan-wright,,,34,27:41,0,3,0,8,20,8,11,16,4,0,3,7
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,203893,Russ,Smith,R. Smith,russ-smith,,,2,2:57,0,0,0,0,3,0,3,2,0,0,0,1
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,203919,Jordan,Adams,J. Adams,jordan-adams,,DNP - Coach's Decision,3,,0,0,0,0,0,0,0,0,0,0,0,0
0021500058,1610612763,Memphis,Grizzlies,MEM,grizzlies,1713,Vince,Carter,V. Carter,vince-carter,,DNP - Coach's Decision,15,,0,0,0,0,0,0,0,0,0,0,0,0
0021500058,1610612758,Sacramento,Kings,SAC,kings,200752,Rudy,Gay,R. Gay,rudy-gay,F,,8,31:60,0,2,4,10,13,7,7,34,0,1,3,5
0021500058,1610612758,Sacramento,Kings,SAC,kings,201585,Kosta,Koufos,K. Koufos,kosta-koufos,F,,41,26:21,2,2,4,10,9,9,5,26,0,0,5,3
0021500058,1610612758,Sacramento,Kings,SAC,kings,1626161,Willie,Cauley-Stein,W. Cauley-Stein,willie-cauley-stein,C,,00,34:02,1,6,3,6,11,6,10,34,1,0,3,4
0021500058,1610612758,Sacramento,Kings,SAC,kings,203463,Ben,McLemore,B. McLemore,ben-mclemore,G,,23,20:27,0,0,2,2,9,2,7,22,0,0,3,0
0021500058,1610612758,Sacramento,Kings,SAC,kings,200765,Rajon,Rondo,R. Rondo,rajon-rondo,G,,9,26:59,2,0,0,4,11,3,7,32,0,1,1,2
0021500058,1610612758,Sacramento,Kings,SAC,kings,201956,Omri,Casspi,O. Casspi,omri-casspi,,,18,22:47,1,3,1,0,4,11,3,30,0,2,2,3
