gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,203914,Gary,Harris,G. Harris,gary-harris,G,,,17:53,2,8,0.25,0,2,0.0,0,0,0.0,1,0,1,1,1,0,1,3,4,-15.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,1626144,Emmanuel,Mudiay,E. Mudiay,emmanuel-mudiay,G,,,26:30,5,15,0.333,2,5,0.4,3,6,0.5,0,2,2,2,2,2,4,2,15,-13.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,203115,Will,Barton,W. Barton,will-barton,G,,,29:41,4,14,0.286,1,4,0.25,5,6,0.833,1,3,4,1,2,1,0,4,14,-5.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,200751,Randy,Foye,R. Foye,randy-foye,C,,,8:22,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-7.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,2749,Jameer,Nelson,J. Nelson,jameer-nelson,F,,,25:42,1,10,0.1,1,4,0.25,0,0,0.0,0,2,2,4,1,0,1,2,3,2.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,201589,Darrell,Arthur,D. Arthur,darrell-arthur,F,,,26:26,1,7,0.143,1,3,0.333,0,0,0.0,3,6,9,2,0,1,1,5,3,-6.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,203999,Nikola,Jokić,N. Jokić,nikola-jokić,G,,,18:09,5,8,0.625,0,0,0.0,0,0,0.0,3,6,9,1,0,0,2,3,10,10.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,2034,Mike,Miller,M. Miller,mike-miller,C,,,9:20,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,0,0,5.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,203475,Erick,Green,E. Green,erick-green,,,,1:32,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.0
0021500029,1610612743,Denver,Nuggets,DEN,nuggets,201581,JJ,Hickson,J. Hickson,jj-hickson,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0021500021,1610612748,Miami,Heat,MIA,heat,2736,Luol,Deng,L. Deng,luol-deng,F,,,29:12,4,8,0.5,1,3,0.333,1,2,0.5,2,4,6,2,1,0,1,3,10,6.0
0021500021,1610612748,Miami,Heat,MIA,heat,2547,Chris,Bosh,C. Bosh,chris-bosh,F,,,33:10,7,15,0.467,2,4,0.5,0,0,0.0,0,5,5,3,1,0,0,0,16,3.0
0021500021,1610612748,Miami,Heat,MIA,heat,202355,Hassan,Whiteside,H. Whiteside,hassan-whiteside,C,,,36:02,4,7,0.571,0,0,0.0,3,4,0.75,1,8,9,2,0,6,2,2,11,6.0
0021500021,1610612748,Miami,Heat,MIA,heat,201609,Goran,Dragic,G. Dragic,goran-dragic,G,,,33:36,3,9,0.333,1,3,0.333,4,4,1.0,0,3,3,6,1,0,1,3,11,9.0
0021500021,1610612748,Miami,Heat,MIA,heat,2548,Dwyane,Wade,D. Wade,dwyane-wade,G,,,30:25,8,15,0.533,1,2,0.5,8,8,1.0,0,4,4,3,2,1,7,4,25,4.0
0021500021,1610612748,Miami,Heat,MIA,heat,1626159,Justise,Winslow,J. Winslow,justise-winslow,G,,,18:48,1,4,0.25,0,2,0.0,0,0,0.0,0,4,4,1,0,0,0,2,2,-16.0
0021500021,1610612748,Miami,Heat,MIA,heat,201596,Mario,Chalmers,M. Chalmers,mario-chalmers,G,,,14:24,3,6,0.5,0,2,0.0,2,2,1.0,0,1,1,2,0,0,0,1,8,-19.0
0021500021,1610612748,Miami,Heat,MIA,heat,101123,Gerald,Green,G. Green,gerald-green,G,,,16:07,1,9,0.111,1,4,0.25,2,2,1.0,0,1,1,0,0,0,1,1,5,-18.0
0021500021,1610612748,Miami,Heat,MIA,heat,201177,Josh,McRoberts,J. McRoberts,josh-mcroberts,F,,,13:22,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,1,0,0,1,2,2,-17.0
0021500021,1610612748,Miami,Heat,MIA,heat,2405,Amar'e,Stoudemire,A. Stoudemire,amare-stoudemire,F,,,11:58,1,2,0.5,0,0,0.0,0,0,0.0,2,1,3,0,0,0,0,2,2,-16.0
0021500021,1610612748,Miami,Heat,MIA,heat,203516,James,Ennis III,J. Ennis III,james-ennis-iii,,,,1:28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,4.0
0021500021,1610612748,Miami,Heat,MIA,heat,204020,Tyler,Johnson,T. Johnson,tyler-johnson,,,,1:28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,4.0
0021500021,1610612748,Miami,Heat,MIA,heat,2617,Udonis,Haslem,U. Haslem,udonis-haslem,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,2544,LeBron,James,L. James,lebron-james,F,,,33:56,13,19,0.684,0,2,0.0,3,5,0.6,2,3,5,4,1,0,4,3,29,7.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,201567,Kevin,Love,K. Love,kevin-love,F,,,33:07,6,15,0.4,3,7,0.429,9,9,1.0,6,8,14,5,0,1,0,2,24,3.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,202389,Timofey,Mozgov,T. Mozgov,timofey-mozgov,C,,,18:04,4,6,0.667,0,0,0.0,1,1,1.0,1,4,5,0,0,1,1,2,9,0.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,2747,JR,Smith,J. Smith,jr-smith,G,,,22:15,1,8,0.125,0,3,0.0,0,0,0.0,0,2,2,0,0,1,2,4,2,-3.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,2590,Mo,Williams,M. Williams,mo-williams,G,,,25:48,2,10,0.2,0,4,0.0,2,2,1.0,0,0,0,3,1,0,1,3,6,-4.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,203521,Matthew,Dellavedova,M. Dellavedova,matthew-dellavedova,F,,,26:58,1,5,0.2,1,4,0.25,2,2,1.0,1,4,5,10,1,0,0,0,5,23.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,2210,Richard,Jefferson,R. Jefferson,richard-jefferson,G,,,24:23,2,7,0.286,1,3,0.333,0,0,0.0,0,0,0,0,1,0,3,1,5,9.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,202684,Tristan,Thompson,T. Thompson,tristan-thompson,F,,,26:03,6,9,0.667,0,0,0.0,1,2,0.5,2,7,9,1,0,1,0,1,13,14.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,203099,Jared,Cunningham,J. Cunningham,jared-cunningham,G,,,9:12,2,4,0.5,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,1,4,2.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,2760,Anderson,Varejao,A. Varejao,anderson-varejao,G,,,15:50,1,2,0.5,0,0,0.0,0,0,0.0,2,6,8,0,0,0,0,1,2,11.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,2592,James,Jones,J. Jones,james-jones,,,,1:28,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-4.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,203925,Joe,Harris,J. Harris,joe-harris,,,,1:28,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,-4.0
0021500021,1610612739,Cleveland,Cavaliers,CLE,cavaliers,201619,Sasha,Kaun,S. Kaun,sasha-kaun,,,,1:28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-4.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,202329,Al-Farouq,Aminu,A. Aminu,al-farouq-aminu,F,,,31:32,5,9,0.556,2,3,0.667,4,5,0.8,3,7,10,0,0,2,6,5,16,-12.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,203086,Meyers,Leonard,M. Leonard,meyers-leonard,F,,,17:33,0,5,0.0,0,2,0.0,0,0,0.0,0,3,3,2,0,0,2,5,0,-13.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,203486,Mason,Plumlee,M. Plumlee,mason-plumlee,C,,,25:36,7,13,0.538,0,0,0.0,1,2,0.5,3,2,5,1,3,0,1,4,15,-15.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,203468,CJ,McCollum,C. McCollum,cj-mccollum,G,,,33:18,7,22,0.318,2,7,0.286,0,0,0.0,1,3,4,3,2,0,2,4,16,-18.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,203081,Damian,Lillard,D. Lillard,damian-lillard,G,,,36:50,7,20,0.35,3,8,0.375,7,7,1.0,0,3,3,6,0,0,7,4,24,-17.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,203459,Allen,Crabbe,A. Crabbe,allen-crabbe,G,,,22:56,0,3,0.0,0,1,0.0,0,0,0.0,0,3,3,1,3,0,1,3,0,-9.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,202334,Ed,Davis,E. Davis,ed-davis,G,,,19:42,2,3,0.667,0,0,0.0,1,3,0.333,1,1,2,1,0,1,2,2,5,-4.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,203090,Maurice,Harkless,M. Harkless,maurice-harkless,G,,,24:01,4,6,0.667,1,2,0.5,0,0,0.0,1,4,5,1,0,1,1,3,9,0.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,203943,Noah,Vonleh,N. Vonleh,noah-vonleh,F,,,21:02,1,2,0.5,0,0,0.0,0,0,0.0,2,4,6,1,0,1,0,2,2,-5.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,1626192,Pat,Connaughton,P. Connaughton,pat-connaughton,,,,2:42,1,2,0.5,1,1,1.0,2,2,1.0,0,0,0,0,0,0,0,0,5,1.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,1626242,Luis,Montero,L. Montero,luis-montero,,,,2:24,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,1.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,204025,Tim,Frazier,T. Frazier,tim-frazier,,,,2:24,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,1,0,1.0
0021500032,1610612757,Portland,Trail Blazers,POR,blazers,2549,Chris,Kaman,C. Kaman,chris-kaman,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0
0021500032,1610612756,Phoenix,Suns,PHX,suns,200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,23:45,2,6,0.333,0,3,0.0,0,0,0.0,0,4,4,1,2,0,2,2,4,13.0
