gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,202334,Ed,Davis,E. Davis,ed-davis,,,,0:28,300.0,300.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.97,103.97,86.64,1.0,0.0
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1630183,Jaden,McDaniels,J. McDaniels,jaden-mcdaniels,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000028,1610612750,Minnesota,Timberwolves,MIN,timberwolves,1629020,Jarred,Vanderbilt,J. Vanderbilt,jarred-vanderbilt,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000028,1610612762,Utah,Jazz,UTA,jazz,202711,Bojan,Bogdanovic,B. Bogdanovic,bojan-bogdanovic,F,,,34:03,98.7,98.7,110.8,110.8,-12.1,-12.1,0.048,0.0,5.6,0.083,0.108,0.096,0.0,0.219,0.267,0.193,0.193,105.75,105.75,88.12,76.0,0.025
0022000028,1610612762,Utah,Jazz,UTA,jazz,1626220,Royce,O'Neale,R. O'Neale,royce-oneale,F,,,34:08,98.6,98.6,118.7,118.7,-20.0,-20.0,0.045,0.5,14.3,0.075,0.227,0.155,28.6,0.625,0.625,0.068,0.068,104.76,104.76,87.3,74.0,0.102
0022000028,1610612762,Utah,Jazz,UTA,jazz,203497,Rudy,Gobert,R. Gobert,rudy-gobert,C,,,29:03,109.2,109.2,97.0,97.0,12.3,12.3,0.111,0.5,10.5,0.2,0.257,0.229,21.1,0.7,0.712,0.213,0.213,108.23,108.23,90.19,65.0,0.198
0022000028,1610612762,Utah,Jazz,UTA,jazz,1628378,Donovan,Mitchell,D. Mitchell,donovan-mitchell,G,,,37:16,100.0,100.0,104.7,104.7,-4.7,-4.7,0.208,1.67,14.3,0.021,0.02,0.02,8.6,0.304,0.389,0.294,0.294,110.13,110.13,91.77,85.0,0.06
0022000028,1610612762,Utah,Jazz,UTA,jazz,201144,Mike,Conley,M. Conley,mike-conley,G,,,33:33,106.8,106.8,95.8,95.8,11.0,11.0,0.2,1.0,16.7,0.0,0.154,0.078,16.7,0.538,0.605,0.227,0.227,103.72,103.72,86.43,73.0,0.126
0022000028,1610612762,Utah,Jazz,UTA,jazz,204060,Joe,Ingles,J. Ingles,joe-ingles,,,,25:53,101.8,101.8,120.7,120.7,-18.9,-18.9,0.0,0.0,0.0,0.027,0.031,0.029,25.0,0.5,0.563,0.156,0.156,105.71,105.71,88.09,56.0,0.006
0022000028,1610612762,Utah,Jazz,UTA,jazz,202324,Derrick,Favors,D. Favors,derrick-favors,,,,17:57,105.3,105.3,115.0,115.0,-9.7,-9.7,0.2,1.0,22.2,0.087,0.167,0.128,22.2,0.333,0.525,0.143,0.143,104.34,104.34,86.95,38.0,0.074
0022000028,1610612762,Utah,Jazz,UTA,jazz,203903,Jordan,Clarkson,J. Clarkson,jordan-clarkson,,,,23:05,119.2,119.2,107.7,107.7,11.5,11.5,0.0,0.0,0.0,0.029,0.077,0.049,0.0,0.529,0.586,0.268,0.268,108.17,108.17,90.14,52.0,0.209
0022000028,1610612762,Utah,Jazz,UTA,jazz,1627777,Georges,Niang,G. Niang,georges-niang,,,,4:02,155.6,155.6,80.0,80.0,75.6,75.6,0.0,0.0,0.0,0.143,0.167,0.154,0.0,0.0,0.0,0.0,0.0,113.01,113.01,94.18,9.0,0.042
0022000028,1610612762,Utah,Jazz,UTA,jazz,1629752,Juwan,Morgan,J. Morgan,juwan-morgan,,,,1:01,0.0,0.0,200.0,200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.64,141.64,118.03,3.0,0.0
0022000028,1610612762,Utah,Jazz,UTA,jazz,1628962,Udoka,Azubuike,U. Azubuike,udoka-azubuike,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000028,1610612762,Utah,Jazz,UTA,jazz,1627885,Shaquille,Harrison,S. Harrison,shaquille-harrison,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000028,1610612762,Utah,Jazz,UTA,jazz,1630190,Elijah,Hughes,E. Hughes,elijah-hughes,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000028,1610612762,Utah,Jazz,UTA,jazz,1629671,Miye,Oni,M. Oni,miye-oni,,DNP - Coach's Decision,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0022000029,1610612745,Houston,Rockets,HOU,rockets,200782,P.J.,Tucker,P. Tucker,pj-tucker,F,,,42:31,125.6,125.6,129.5,129.5,-4.0,-4.0,0.029,0.25,6.3,0.083,0.186,0.139,25.0,0.35,0.322,0.16,0.16,98.22,98.22,81.85,86.0,0.015
0022000029,1610612745,Houston,Rockets,HOU,rockets,1627863,Danuel,House Jr.,D. House Jr.,danuel-house-jr,F,,,38:07,111.3,111.3,117.3,117.3,-6.0,-6.0,0.036,1.0,7.7,0.0,0.07,0.038,7.7,0.438,0.517,0.14,0.14,101.37,101.37,84.48,80.0,0.043
0022000029,1610612745,Houston,Rockets,HOU,rockets,1626174,Christian,Wood,C. Wood,christian-wood,C,,,43:36,118.4,118.4,122.5,122.5,-4.1,-4.1,0.12,1.0,10.0,0.086,0.217,0.16,10.0,0.636,0.652,0.284,0.284,96.88,96.88,80.73,87.0,0.153
0022000029,1610612745,Houston,Rockets,HOU,rockets,1628021,David,Nwaba,D. Nwaba,david-nwaba,G,,,26:47,103.6,103.6,110.7,110.7,-7.1,-7.1,0.0,0.0,0.0,0.042,0.033,0.037,0.0,0.4,0.46,0.18,0.18,99.47,99.47,82.89,55.0,0.06
