date,game_id,team,odds,prob,ev,stake,won,gain,bankroll
2022-12-21,22200473.0,minnesota timberwolves,1.98,0.6032985548647563,0.19453113863221727,22.087620665089304,0,-22.087620665089304,1082.2934125893757
2022-12-25,22200493.0,new york knicks,1.92,0.6237911409054133,0.19767899053839355,21.645868251787515,0,-21.645868251787515,1060.6475443375882
2022-12-26,22200502.0,new orleans pelicans,1.67,0.7490785770909777,0.25096122374193275,21.212950886751766,1,14.212677094123682,1074.8602214317118
2022-12-28,22200521.0,golden state warriors,2.24,0.6248665833218081,0.3997011466408502,21.497204428634237,1,26.65653349150646,1101.5167549232183
2022-12-30,22200536.0,golden state warriors,1.8,0.6494509052234816,0.169011629402267,22.030335098464366,1,17.624268078771493,1119.1410230019899
2023-01-01,22200548.0,milwaukee bucks,1.62,0.7406348072915555,0.19982838781231993,22.3828204600398,0,-22.3828204600398,1096.7582025419501
2023-01-02,22200551.0,los angeles lakers,1.93,0.6001518215372698,0.15829301556693065,21.935164050839003,1,20.399702567280272,1117.1579051092303
2023-01-02,22200558.0,golden state warriors,1.74,0.6611704308700191,0.15043654971383336,22.343158102184606,1,16.53393699561661,1133.691842104847
2023-01-04,22200571.0,minnesota timberwolves,1.91,0.6708547484292636,0.2813325694998934,22.67383684209694,1,20.633191526308213,1154.325033631155
2023-01-04,22200575.0,sacramento kings,1.74,0.6618555887213264,0.151628724375108,23.086500672623103,0,-23.086500672623103,1131.238532958532
2023-01-06,22200580.0,indiana pacers,1.75,0.6769040051424577,0.1845820089993011,22.62477065917064,1,16.96857799437798,1148.20711095291
2023-01-06,22200582.0,new york knicks,2.27,0.562648652108723,0.27721244028680103,22.9641422190582,1,29.164460618203915,1177.371571571114
2023-01-06,22200590.0,los angeles lakers,2.05,0.6076963695507994,0.24577755757913877,23.54743143142228,1,24.72480300299339,1202.0963745741074
2023-01-07,22200592.0,chicago bulls,1.98,0.586259291986844,0.1607933981339511,24.04192749148215,1,23.561088941652507,1225.65746351576
2023-01-08,22200600.0,memphis grizzlies,1.39,0.8418800722008702,0.17021330035920945,24.5131492703152,1,9.560128215422926,1235.217591731183
2023-01-10,22200611.0,miami heat,1.73,0.708749864565678,0.2261372656986229,24.704351834623658,1,18.03417683927527,1253.2517685704581
2023-01-13,22200633.0,indiana pacers,2.16,0.5957530404916113,0.2868265674618804,25.065035371409163,0,-25.065035371409163,1228.186733199049
2023-01-13,22200639.0,denver nuggets,2.4,0.5463369944060844,0.3112087865746025,24.56373466398098,1,34.38922852957337,1262.5759617286224
2023-01-14,22200647.0,dallas mavericks,2.12,0.5704640893721316,0.20938386946891896,25.25151923457245,0,-25.25151923457245,1237.32444249405
2023-01-16,22200659.0,new york knicks,1.74,0.7214828694116335,0.25538019277624224,24.746488849880997,0,-24.746488849880997,1212.577953644169
